id,value
START,
START.FRONT,
START.FRONT.HTML,
START.FRONT.HTML.Syntax,
START.FRONT.HTML.SEO,
START.FRONT.CSS,
START.FRONT.CSS.Web Responsivo,
START.FRONT.CSS.Pré processadores,
START.FRONT.CSS.Pré processadores.Sass,
START.FRONT.CSS.Pré processadores.Less,
START.FRONT.CSS.Pré processadores.Stylus,
START.FRONT.CSS.Frameworks,
START.FRONT.CSS.Frameworks.Fundation,
START.FRONT.CSS.Frameworks.Bootstrap 3 e 4,
START.FRONT.CSS.Frameworks.Materialize CSS,
START.FRONT.CSS.Frameworks.Semantic UI,
START.FRONT.Javascript,
START.FRONT.Javascript.ES6,
START.FRONT.Javascript.Frameworks,
START.FRONT.Javascript.Frameworks.Angular,
START.FRONT.Javascript.Frameworks.React,
START.FRONT.Javascript.Frameworks.Vue,
START.FRONT.Javascript.Frameworks.EmberJS,
START.FRONT.Javascript.Módulos,
START.FRONT.Javascript.Módulos.Webpack,
START.FRONT.Javascript.Pacotes,
START.FRONT.Javascript.Pacotes.NPM,
START.FRONT.Javascript.Pacotes.Yarn,
START.BACK,
START.BACK.PHP,
START.BACK.PHP.Pacotes,
START.BACK.PHP.Pacotes.Composer,
START.BACK.PHP.Framework,
START.BACK.PHP.Framework.Laravel,
START.BACK.PHP.Framework.Lumen,
START.BACK.PHP.Framework.Slim,
START.BACK.Python,
START.BACK.Python.Pacotes,
START.BACK.Python.Pacotes.Pip,
START.BACK.Python.Framework,
START.BACK.Python.Framework.Assíncrono,
START.BACK.Python.Framework.Assíncrono.Django,
START.BACK.Python.Framework.Síncrono,
START.BACK.Python.Framework.Síncrono.Tornado,
START.BACK.NodeJs,
START.BACK.NodeJs.Pacotes,
START.BACK.NodeJs.Pacotes.NPM,
START.BACK.NodeJs.Pacotes.Yarn,
START.BACK.NodeJs.Framework,
START.BACK.NodeJs.Framework.Express,
START.BACK.NodeJs.Framework.Koa,
START.BACK.NodeJs.Framework.Sails,
START.BACK.Database,
START.BACK.Database.Mysql,
START.BACK.Database.MongoDB,
START.DevOps,
START.DevOps.SO,
START.DevOps.SO.Linux,
START.DevOps.SO.Unix,
START.DevOps.Nuvem,
START.DevOps.Nuvem.G cloud,
START.DevOps.CI/CD,
START.DevOps.CI/CD.Jenkins,
START.DevOps.Container,
START.DevOps.Container.Docker,
START.DevOps.Servidor,
START.DevOps.Servidor.Apache,
START.DevOps.Servidor.Nginx,
START.DevOps.Servidor.IIS,